"run","learner_id","completed","steps_visited","steps_completed"
"1","792d8000-986c-4853-8254-dfd666f3bc8e",1,59,58
"1","61722c27-515b-40db-9ae8-23fc9ff2d0dd",0,1,0
"1","6f004435-9b8a-4b90-a5c7-b23c36b42f09",0,0,0
"1","dddebc5e-7542-4acc-9099-7c746ee32fa3",0,2,0
"1","9663bfa5-1930-4393-9433-aad5a86bd750",0,1,0
"1","c373fbb7-2a99-45db-aa6f-a89504ee6e10",0,3,2
"1","7619ce8b-3306-4fe1-bb25-5efd41278471",0,5,4
"1","8d72c1f0-6651-4ac1-9332-6119c1f5604a",0,29,28
"1","b9f70ec2-887e-4e62-b221-b0c84aea1a20",0,7,6
"1","9fef2894-6225-45e7-a5c8-3492a3814288",0,60,55
"1","f964c505-d870-4dea-b39d-17bf843d7a9e",0,0,0
"1","77c6b3a7-415d-41d2-886b-536dbd6b6342",1,60,60
"1","cb626f7c-757b-4615-86dd-77ba4747377b",0,5,4
"1","a513bb6f-861d-4b80-b4f9-27c79be52321",0,5,2
"1","d2418f25-9665-4c94-8e66-cc9a351d0160",0,0,0
"1","0285e34c-cd3e-4598-bfcd-5a0a20412990",0,5,2
"1","d1bece63-862e-4e60-bbf0-4eb82bebea1e",0,20,18
"1","1045ccf7-cd7d-4572-9a39-7ac13cbcd18a",0,0,0
